
window,purchase_begin_date,purchase_end_date,encashment_begin_date, encashment_end_date,month,year
1,2019-04-12,2019-04-20,2019-04-12,2019-05-05,4,2019
2,2019-05-06,2019-05-10,2019-05-06,2019-05-25,5,2019
3,2019-07-05,2019-07-10,2019-07-05,2019-07-25,7,2019
4,2019-10-01,2019-10-10,2019-10-01,2019-10-25,10,2019
5,2020-01-14,2020-01-22,2020-01-14,2020-02-06,1,2020
6,2020-10-19,2020-10-28,2020-10-19,2020-11-12,10,2020
7,2021-01-04,2021-01-08,2021-01-04,2021-01-23,1,2021
8,2021-04-03,2021-04-09,2021-04-03,2021-04-24,4,2021
9,2021-07-02,2021-07-09,2021-07-02,2021-07-24,7,2021
10,2021-10-04,2021-10-08,2021-10-04,2021-10-23,10,2021
11,2022-01-03,2022-01-10,2022-01-03,2022-01-25,1,2022
12,2022-04-02,2022-04-09,2022-04-02,2022-04-24,4,2022
13,2022-07-01,2022-07-08,2022-07-01,2022-07-23,7,2022
14,2022-10-01,2022-10-10,2022-10-01,2022-10-25,10,2022
15,2022-11-09,2022-11-15,2022-11-30,2022-11-09,11,2022
16,2022-12-06,2022-12-12,2022-12-06,2022-12-27,12,2022
17,2023-01-20,2023-01-27,2023-01-20,2023-02-11,1,2023
18,2023-04-04,2023-04-12,2023-04-04,2023-04-27,4,2023
19,2023-07-03,2023-07-12,2023-07-27,2023-07-03,7,2023
20,2023-10-04,2023-10-13,2023-10-04,2023-10-28,10,2023
21,2023-11-06,2023-11-20,2023-11-06,2023-12-05,11,2023
22,2024-01-03,2024-01-11,2024-01-03,2024-01-26,1,2024
